link,skills,salary,experience,name
https://hh.ru/vacancy/49665301?from=vacancy_search_list&query=it,"['MS Project', 'Управление проектами', 'Коттеджное строительство', 'Уверенный пользователь MS Office', 'навыки статистической обработки данных', 'Навыки работы с большим объемом информации', 'Инвестиционное планирование', 'Календарно-сетевое планирование', 'ПТО', 'Строительство', 'MS Project Expert', 'MS Excel', 'Производственное планирование', 'производственные графики', 'план-график']",от 100 000 руб. до вычета налогов,1–3 года,Инженер календарно-сетевого планирования / ПТО (строительство элитных коттеджей )
https://hh.ru/vacancy/50215693?from=vacancy_search_list&query=it,"['Грамотность', 'Продвинутый пользователь ПК', 'Excel', 'Работа с банками']",от 80 000 руб. на руки,3–6 лет,"Главный специалист Управления анализа и отчетности, Автоторгбанк"
https://hh.ru/vacancy/49722382?from=vacancy_search_list&query=it,"['Проведение ревизий', 'MS Outlook', '1С: Управление Торговлей', '1С: Склад', 'Многозадачность']",от 80 000 руб. на руки,1–3 года,Старший специалист контрольно-ревизионного отдела
https://hh.ru/vacancy/50183984?from=vacancy_search_list&query=it,"['Управление продуктом', 'Управление проектами', 'Запуск новых продуктов', 'Разработка нового продукта']",от 400 000 руб. до вычета налогов,3–6 лет,Product director
https://hh.ru/vacancy/49551472?from=vacancy_search_list&query=it,[],от 39 000 до 40 000 руб. на руки,не требуется,Администратор ресепшн
https://hh.ru/vacancy/49798591?from=vacancy_search_list&query=it,"['SolidWorks', 'Креативность', 'Проведение расчетов на прочность', 'Стрессоустойчивость']",от 110 000 руб. на руки,1–3 года,Ведущий инженер-конструктор
https://hh.ru/vacancy/50191988?from=vacancy_search_list&query=it,"['Английский\xa0— C1 — Продвинутый', 'PR', 'Маркетинговые коммуникации', 'B2B маркетинг', 'Организация пресс-конференций', 'Формирование пула лояльных СМИ', 'Копирайтинг']",от 40 000 до 60 000 руб. на руки,1–3 года,PR-менеджер
https://hh.ru/vacancy/48399437?from=vacancy_search_list&query=it,"['Работа в команде', 'Управление проектами', 'Деловая коммуникация', 'Тайм-менеджмент', 'Google Analytics', 'MS Excel', 'Интернет-реклама', 'Digital Marketing', 'Медиапланирование', 'Закупка рекламных материалов']",от 130 000 до 180 000 руб. на руки,1–3 года,Senior digital manager
https://hh.ru/vacancy/41493066?from=vacancy_search_list&query=it,[],от 26 000 до 55 000 руб. на руки,1–3 года,Главный специалист отдела межведомственного взаимодействия Департамента информационных технологий
https://hh.ru/vacancy/50242344?from=vacancy_search_list&query=it,"['Бухгалтерская отчетность', '1С: Предприятие 8', 'Управленческая отчетность', 'Оптимизация налогообложения', 'Банк-клиент', 'Финансовый анализ', 'Бухгалтерский учет', 'Управление финансами', 'Управление бухгалтерией', 'Бюджетирование', 'Оптимизация бизнес-процессов', 'Расчет налогов', 'Управленческий учет']",от 200 000 до 250 000 руб. до вычета налогов,более 6 лет,Главный Бухгалтер с функцией Финансового Директора
https://hh.ru/vacancy/50171777?from=vacancy_search_list&query=it,"['Microsoft Dynamics AX', 'MS Dynamics AX', 'MS Axapta', 'Аксапта', 'DAX', 'Техническая поддержка']",до 150 000 руб. до вычета налогов,1–3 года,Специалист технической поддержки Axapta
https://hh.ru/vacancy/50179202?from=vacancy_search_list&query=it,"['SQL', 'TypeScript', 'JavaScript', 'PostgreSQL', 'Redux-Saga', 'Удаленная работа', 'Анализ данных', 'Scrum', 'DFD', 'Системный анализ']",до 200 000 руб. на руки,1–3 года,System analyst (Middle)
https://hh.ru/vacancy/49972675?from=vacancy_search_list&query=it,"['1С: Предприятие 8', '1С: Управление Торговлей', 'Ведение отчетности', '1С: Розница', 'Умение работать в режиме многозадачности', 'Подготовка управленческой отчетности', 'навыки ведения бухгалтерского и налогового учета']",от 90 000 руб. на руки,3–6 лет,Главный бухгалтер
