link,names,skills,salary,experience,name
https://hh.ru/vacancy/49845381?from=vacancy_search_list&query=it,0,"['Atlassian Jira', 'Test case', 'SQL', 'Тестирование', 'API', 'Gitlab', 'Теория тестирования', 'Postman', 'MS SQL', 'Ручное тестирование', 'Bug Tracking Systems', 'SOAP UI', 'Проведение тестирований', 'Разработка технических заданий', 'Написание ТЗ', 'Базовые знания SQL', 'Умение работать в команде']",от 100 000 до 160 000 руб. на руки,3–6 лет,QA Manual специалист (удаленно)
https://hh.ru/vacancy/49821190?from=vacancy_search_list&query=it,0,"['IDEF0', 'BPMN', 'Agile Project Management', 'Atlassian Jira', 'SQL']",до 150 000 руб. на руки,3–6 лет,Аналитик
https://hh.ru/vacancy/49785951?from=vacancy_search_list&query=it,0,"['Разработка технических заданий', 'Atlassian Jira', 'Atlassian Confluence', 'MS Project', 'Управление проектами', 'Системный анализ', 'Техническое задание', 'Системное мышление', 'Достижение результата']",до 160 000 руб. на руки,3–6 лет,Системный аналитик / Руководитель разработки
https://hh.ru/vacancy/50238015?from=vacancy_search_list&query=it,0,"['Работа в команде', 'Грамотная речь', 'Пользователь ПК']",от 60 000 руб. на руки,1–3 года,Специалист поддержки пользователей
https://hh.ru/vacancy/48557747?from=vacancy_search_list&query=it,0,"['MVC', 'REST', 'MSSQL', 'MongoDB', 'Docker', 'Transact-SQL']",от 320 000 руб. на руки,3–6 лет,Senior .NetCore разработчик
https://hh.ru/vacancy/49600992?from=vacancy_search_list&query=it,0,"['SQL', 'Python', 'MS SQL', 'Базы данных', 'Data Analysis']",от 100 000 руб. на руки,1–3 года,Бизнес-аналитик (HR)
https://hh.ru/vacancy/49890019?from=vacancy_search_list&query=it,0,[],от 100 000 руб. до вычета налогов,1–3 года,Консультант по внедрению TMS
https://hh.ru/vacancy/49950143?from=vacancy_search_list&query=it,0,"['Английский\xa0— B1 — Средний', 'Тестирование', 'Manual testing', 'Automated testing', 'Bug Reporting', 'Test case', 'Коммуникативные навыки', 'Работа в команде']",от 1 000 до 2 000 USD до вычета налогов,1–3 года,"QA engineer / Тестировщик (Manual, Remote)"
https://hh.ru/vacancy/50142561?from=vacancy_search_list&query=it,0,"['Английский\xa0— C2 — В совершенстве', 'Sales Management', 'Team management', 'Negotiation skills', 'Английский язык', 'Key Account Management', 'Sales Skills', 'Sales Planning']",до 150 000 руб. на руки,1–3 года,Sales manager
https://hh.ru/vacancy/49905990?from=vacancy_search_list&query=it,0,"['PostgreSQL', 'SQL', 'Linux', 'СУФТ', 'ЕСТП', 'Администрирование систем', 'Работа с базами данных', 'Настройка ПО', 'настройка систем', 'Консультирование', 'REST', 'SOAP', 'JSON-RPC', 'Инфраструктура IT', 'Сопровождение ПО', 'Поддержка пользователей', 'Администрирование', 'Cистемы управления базами данных', 'Аналитические способности', 'Базы данных', 'Информационные технологии']",от 103 500 руб. на руки,1–3 года,Администратор прикладного ПО / Системный администратор (корпоративные системы)
https://hh.ru/vacancy/50058092?from=vacancy_search_list&query=it,0,"['MySQL', 'JavaScript', 'PHP5', 'PHP', 'PHP7', 'Git', 'Веб-программирование', 'REST API']",от 70 000 руб. на руки,не требуется,PHP-разработчик Junior/Middle
https://hh.ru/vacancy/50076617?from=vacancy_search_list&query=it,0,"['Node.js', 'back end', 'MongoDB', 'TypeScript', 'ООП', 'Git']",от 180 000 руб. на руки,1–3 года,Node.js разработчик (удаленно)
https://hh.ru/vacancy/48879156?from=vacancy_search_list&query=it,0,"['Ведение переговоров', 'Проведение презентаций', 'Поиск и привлечение клиентов', 'Английский язык', 'Ориентация на результат']",от 150 000 руб. на руки,3–6 лет,Руководитель направления/Инженер по продажам IT оборудования (коммутаторы/маршрутизаторы/хPON/VoIP)
